,title,author,publication,date,duration,claps,tags_cleaned
0,The Three Bay Areas,keith a. spencer,the bold italic,13-Mar-17,10,7400,"san-francisco,tech,politics,humor,this-just-in"
1,The First Gene-Edited Squid in History Is a Biological Breakthrough,emily mullin,onezero,11-Aug,5,1100,",reengineering-life,science,gene-editing,neuroscience,dna"
2,The Gig Economy Is Failing. Say Hello to the Hustle Economy.,caitlin dewey,onezero,29-Jul,12,5100,"gig-economy,economy,tech,digital-life,business"
3,10 Bizarre Money Habits Making Millennials Richer,refinery29 uk,refinery29,7-Aug,4,3800,"money,saving,saving-money,millennials,hacks"
4,Google's Remote Work Policy Has 9 Great Tips You Should Definitely Steal Today,inc. magazine,inc magazine,4-Aug,5,4200,"remote-working,work,google"
5,Why Jonathan Swan's Interview With President Trump Is So Good,eric j scholl,mind cafe,5-Aug,6,7900,"journalism,politics,review,donald-trump"
6,Wireless Charging Is a Disaster Waiting to Happen,eric ravenscraft,onezero,5-Aug,7,2800,"wireless-charging,tech,gadgets,technology,smartphones"
7,Statement from Yale Faculty on Hydroxychloroquine and its Use in COVID-19,gregg gonsalves,No Publication,4-Aug,7,2000,"hydroxy-chloroquine,covid-19,yale,misinformation,sars-cov2"
8,The Uncertain Future of Post-Pandemic Starbucks,steve levine,marker,29-Jul,13,2800,"starbucks,business,coffee,stocks,growth"
9,The VP Candidate Isn't Being Vetted. She's Being Scrutinized.,jessica valenti,gen,5-Aug,3,5400,"jessica-valenti,biden,politics,election-2020,women,drew-magary"
10,Why Americans Are Allergic to the Truth,drew magary,gen,4-Aug,5,14000,"drew-magary,politics,america,trump,society,drew-magary"
11,Confessions of an Internet-Famous Cheater,j.p. cummings,level,4-Aug,14,2100,"cheating,work,career,social-media,relationships"
12,One Word Spared Norway From COVID-19 Disaster,kelsey l.o.,noteworthy - the journal blog,21-Jul,7,3500,"culture,society,coronavirus,covid19,europe"
13,Read This Before You Go to the Dentist,"keren landman, md",elemental,3-Aug,6,2900,"dentistry,health,coronavirus,covid-19,body"
14,I Wasn't Taught Certain Things About My Ancestors',kaitlyn greenidge,zora,28-Jul,10,912,"books,history,great-migration,culture,race"
15,There's Good News About Your Immune System and the Coronavirus,dana g smith,elemental,22-Jul,8,5300,"covid-19,coronavirus,health,body,science"
16,"I Spent 3 Weeks in School, With Kids, Under Covid-19",chris jones,gen,4-Jun,9,5600,None
17,How the American Idiot Made America Unlivable,umair haque,eudaimonia and co,14-Jul,10,10700,"life,news,politics,leadership,culture"
18,This Chart Predicts Which Colleges Will Survive the Coronavirus,scott galloway,marker,21-Jul,7,2300,"no-mercy-no-malice,university,college,education,economy"
19,How African Spirituality Got Tied to Satan,sena voncujovi,human parts,30-Jun,8,3300,"africa,spirituality,christianity,past-is-prologue,history"
20,Zoom Just Launched a New Device for Your WFH Battle Station,owen williams,onezero,22-Jul,4,741,"work-from-home,remote-work,zoom,hardware,debugger"
21,Inside the Revolutionary Treatment That Could Change Psychotherapy Forever,ben blum,elemental,21-Jul,31,7900,"brain,mental-health,psychology,health,science"
22,It's Insane We're Even Discussing Sending Kids to School This Fall,drew magary,gen,21-Jul,6,5600,"drew-magary,politics,coronavirus,parenting,education,drew-magary"
23,"You Can't Kill the Bloomberg Terminal. But If You Were Going to Try, Here's How.",byrne hobart,marker,27-Feb-19,14,1600,"bloomberg,media,investing,fintech,between-the-lines"
24,A Second Coronavirus Death Surge Is Coming,the atlantic,the atlantic,16-Jul,10,6100,"coronavirus,science,health"
25,"Yes, Black People Can Be Racist",kristine hadeed,human parts,7-Jul,5,9000,"blacklivesmatter,racism,criminal-justice-reform,police,bias,hip-hop,politics,race,social-justice,this-is-us"
26,"In Just 6 Months, 'Fever Cameras' Have Become a Full-Fledged Industry",dave gershgorn,onezero,20-Jul,4,548,"technology,health,coronavirus,surveillance,facial-recognition"
27,Apple Is Killing A Billion-Dollar Ad Industry With One Popup,anupam chugh,mac o'clock,7-Jul,4,20000,"apple,marketing,business,advertising,technology"
28,Trump's 4 Most Bonkers Reelection Promises,andrea gonzález-ramírez,gen,17-Jul,5,4200,"trump,election-2020,politics,campaign,presidential-campaign"
29,How Mormons Built the Next Silicon Valley While No One Was Looking,adam bluestein,marker,15-Jan,23,4500,"mormon,utah,startup,salt-lake-city,silicon-slopes"
30,Teachers: You Are Being Gaslit,"michele merritt, ph.d.",digital diplomacy,13-Jul,8,4700,"education,covid-19,health,workers-rights,pandemic"
31,7 Quotes By The Dalai Lama That Will Change Your Mind,sinem günel,mind cafe,15-Jun,9,10900,"life-lessons,life,mental-health,psychology,lifestyle"
32,Austin Was Destined to Replace Silicon Valley. Then the Pandemic Hit,adam bluestein,marker,15-Jul,19,1700,"austin,economy,pandemic,tech,future"
33,American Passports Are Worthless Now (Map),indi samarajiva,indica,9-Jul,5,30000,"science,usa,coronavirus,travel,world,health"
34,The Third Crisis of 2020 Is Almost Here,michael arceneaux,level,15-Jul,6,7000,"politics,economy,housing,society,rent"
35,How Remote Work Could Destroy Silicon Valley,steve levine,marker,13-Jul,12,3600,"remote-work,silicon-valley,startup,tech,innovation"
36,How Nasal Breathing Keeps You Healthier,allison hirschlag,elemental,14-Jul,6,5100,"breathing,health,body,science,covid-19"
37,The Lincoln Project is Not Our Ally.,lauren martinchek,dialogue & discourse,13-Jul,3,4600,"politics,government,elections,election-2020,democrats"
38,What Miniature Lab-Grown Brains Reveal About the Effects of Covid-19,emily mullin,onezero,13-Jul,8,1400,"covid-19,health,science,brains,medicine"
39,Confessions of a Trump Supporter's Daughter,deborah handover,gen,25-Jun,9,18300,"politics,donald-trump,society,election-2020,family"
40,What We Know (and Don't) About Catching Covid-19 Outdoors,robert roy britt,elemental,13-Jul,9,3200,"covid-19,coronavirus,health,public-health,outdoors"
41,A Definitive Guide to Black Trump Supporters,scott woods,level,13-Jul,6,5800,"politics,race,election-2020,trump,culture"
42,One Teacher's Proposal,shameem patel,No Publication,12-Jul,7,996,"reopening-schools,education,covid-19,solutions,politics"
43,How to Meditate When You Can't Shut Your Mind Off,don johnson,human parts,9-Jun,7,7800,"mental-health,meditation,mindfulness,spirituality,self"
44,"Coronavirus May Be a Blood Vessel Disease, Which Explains Everything",dana g smith,elemental,29-May,8,32000,"coronavirus,covid-19,health,science,body"
45,"COVID-19 Cases Are Rising, So Why Are Deaths Flatlining?",the atlantic,the atlantic,9-Jul,8,9000,"coronavirus,science,health"
46,The Psychopath in Chief,tony schwartz,gen,28-May,12,25000,None
47,The Unintentional Racism Found in Traffic Signals,david kaufman,level,7-Jul,5,6900,"design,race,society,systemic-racism,cities"
48,Unlucky Charms: The Rise and Fall of Billion-Dollar Jewelry Empire Alex and Ani,aaron gell,marker,8-Jul,43,1600,"alex-and-ani,jewelry,retail,business,fashion"
49,Gaming During the Pandemic Is Starting to Feel Like Work,steve rousseau,onezero,7-Jul,7,2000,"gaming,pandemic,tech,digital-life,culture"
50,We Can't Let Parents and Teachers Be Pitted Against Each Other In Debate Over School Reopenings,jen roesch,age of awareness,6-Jul,11,1600,"education,parenting,politics,health,covid-19"
51,"If Life Feels Bleak, It's Because Our Civilization is Beginning to Collapse",umair haque,eudaimonia and co,4-Jul,11,99600,"life,news,culture,leadership,politics"
52,The Most Mispronounced Word in the World,dczook,human parts,10-Jun-18,8,20000,"language,culture,education,humor,linguistics"
53,"If You Only Read A Few Books In 2020, Read These",sinem günel,mind cafe,28-Apr,7,16000,"books,business,reading,book-recommendations,education"
54,The Truth About Blood Types and the Coronavirus,markham heid,elemental,2-Jul,7,3100,"the-nuance,blood-type,health,coronavirus,covid-19"
55,The Future Alexander Hamilton Warned About Has Arrived,david litt,gen,3-Jul,6,7100,"government,politics,alexander-hamilton,history,society"
56,"The World, Opened Up",roxane gay,zora,3-Jul,9,6200,"travel,equality,personal-essay"
57,Steve Jobs's Advice Turned This Programmer Into a Billionaire,alan trapulionis,entrepreneur's handbook,30-Jun,4,13600,"entrepreneurship,business,life-lessons,life,work"
58,Do Americans Understand How Badly They're Doing?,the atlantic,the atlantic,2-Jul,4,10700,"world,france"
59,Kayleigh McEnany and the Women Who Do PR for White Supremacy,anushay hossain,zora,1-Jul,5,13400,"trump,white-supremacy,racism,politics,opinion"
60,"When the U.S Dollar Collapses, the Elites Will Try to Steal Your Money",concoda,concoda,28-Jun,6,8000,"economics,finance,money,business,investing"
